Operating Unit,Indicator,Description,Fine Age,Sex,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,45-49,Female,,,,,2,5,4,4,4,7,4,,2,,8,8,4,6,6
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,30-34,Female,,,,,102,204,195,229,192,193,207,192,210,229,261,191,197,222,216
Angola,PMTCT_ART,HIV-positive pregnant women who received ART,<10,Unknown Sex,,,,,,,,,,,,,,,,,,1,1
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,20-24,Female,,,,,5579,5943,5094,4939,5485,5939,5747,4700,4812,5308,5644,5711,5935,6504,5913
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,40-44,Female,,,,,331,328,307,330,478,376,389,366,309,279,398,326,410,441,527
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,50+,Female,,,,,12,4,2,2,6,14,2,6,6,4,4,6,,6,4
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,25-29,Female,,,,,4286,4251,3832,3800,4216,4513,4395,3637,3774,4086,4419,4346,4687,4939,4619
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,15-19,Female,,,,,4184,4317,3457,3049,3095,4081,4070,3179,3798,3983,3943,4102,4745,4729,4381
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,14-Oct,Unknown Sex,,,,,82,92,41,45,57,56,116,31,63,66,52,52,72,70,43
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,45-49,Female,,,,,33,40,38,34,61,38,43,46,44,24,42,46,62,46,48
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,35-39,Female,,,,,1426,1476,1367,1368,1443,1448,1486,1220,1354,1448,1662,1639,1733,1735,1657
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,30-34,Female,,,,,2602,2577,2470,2544,2899,2967,2903,2496,2413,2588,2780,2620,2875,3405,3058
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,Unknown Age,Female,,,,,14,12,8,2,,,,,,,,,,,
Angola,PMTCT_STAT,Pregnant women attending antenatal care with known HIV status,<10,Unknown Sex,,,,,1,2,,,,,2,,,,,,,,1
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,35-39,Female,,,,,48,58,82,60,77,71,73,67,61,66,72,69,63,61,58
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,30-34,Female,,,,,53,107,102,116,101,99,108,101,107,117,131,96,97,111,109
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,25-29,Female,,,,,93,146,139,131,110,152,141,113,107,122,122,107,119,111,126
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,45-49,Female,,,,,1,3,2,2,2,3,2,,1,,4,4,2,3,3
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,20-24,Female,,,,,77,115,78,86,93,106,105,78,77,80,89,74,83,116,107
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,14-Oct,Unknown Sex,,,,,1,,,,,,1,1,,,,,,2,3
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,40-44,Female,,,,,12,13,12,19,11,18,15,15,18,7,27,11,18,16,23
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,50+,Female,,,,,,1,,,,,,,1,,,,,,
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,15-19,Female,,,,,18,34,31,21,26,32,33,20,34,28,24,24,38,46,24
Angola,PMTCT_STAT_POS,HIV-positive Pregnant women attending antenatal care,<10,Unknown Sex,,,,,,,,,,,,,,,,,,,1
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,20-24,Male,7,13,9,4,,5,1,4,,5,2,2,,,,13,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,15-19,Male,3,9,8,16,,4,,2,2,4,2,2,,,,1,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,50+,Male,29,48,36,28,17,16,10,17,9,8,18,6,,,,41,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,50+,Female,57,62,24,39,16,14,29,8,4,8,7,8,,,,44,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,30-34,Male,51,51,65,30,13,15,13,13,17,18,24,21,,,,61,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,45-49,Male,41,32,39,19,7,8,8,6,8,3,8,16,,,,32,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,25-29,Male,17,43,30,14,10,2,4,5,6,2,8,1,,,,24,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,15-19,Female,11,14,12,5,4,2,2,2,2,5,,4,,,,14,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Coarse,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,30-34,Female,68,87,73,49,23,18,19,27,14,20,18,18,,,,103,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,20-24,Female,21,29,21,22,6,14,8,10,11,16,14,20,,,,29,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Unknown Age,Female,,,,,,2,,,,,,,,,,,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,25-29,Female,42,50,70,45,7,16,15,16,5,17,10,11,,,,63,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,40-44,Female,78,68,76,49,13,20,13,17,9,11,8,4,,,,65,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,9-May,Unknown Sex,20,21,19,19,3,,2,,,2,,,,,,6,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,4-Jan,Unknown Sex,18,12,1,4,1,,1,1,,,2,,,,,1,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,14-Oct,Unknown Sex,24,17,25,12,2,1,3,4,,2,,,,,,8,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Coarse,Female,,,,,,,,,,,,,,,,,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,Coarse,Male,,,,,,,,,,,,,,,,,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,40-44,Male,64,61,56,52,6,11,18,6,1,11,18,12,,,,65,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,35-39,Male,54,42,57,48,6,14,19,24,13,15,10,11,,,,47,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,45-49,Female,34,28,49,33,1,12,19,16,6,7,10,8,,,,48,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,35-39,Female,82,89,79,41,8,33,19,21,11,10,26,18,,,,61,,,
Angola,TB_ART,TB cases with documented HIV-positive status who start or continue ART,<01,Unknown Sex,,,,,,,,,,1,,,,,,,,,
Angola,TB_PREV,ART patients who completed a standard course of TB preventive therapy,15+,Male,,,,,,,,,,,,,,,,,,519,
Angola,TB_PREV,ART patients who completed a standard course of TB preventive therapy,15+,Female,,,,,,,,,,,,,,,,,,1842,
Angola,TB_PREV,ART patients who completed a standard course of TB preventive therapy,N/A,Female,,8380,,8726,,,,1878,,1052,,909,,894,,1193,,,
Angola,TB_PREV,ART patients who completed a standard course of TB preventive therapy,<15,Unknown Sex,,,,,,,,,,,,,,,,,,193,
Angola,TB_PREV,ART patients who completed a standard course of TB preventive therapy,N/A,Unknown Sex,,465,,805,,,,39,,71,,66,,49,,142,,,
Angola,TB_PREV,ART patients who completed a standard course of TB preventive therapy,N/A,Male,,3098,,3424,,,,472,,256,,273,,176,,347,,,
Angola,TB_STAT,TB cases with documented HIV status,40-44,Female,213,226,262,202,53,56,64,56,38,47,39,66,28,74,56,58,41,53,44
Angola,TB_STAT,TB cases with documented HIV status,25-29,Female,308,374,426,313,68,72,114,106,63,90,94,102,64,84,119,79,76,74,61
Angola,TB_STAT,TB cases with documented HIV status,Coarse,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,TB_STAT,TB cases with documented HIV status,30-34,Male,587,601,621,559,97,105,146,127,139,101,136,136,85,136,121,140,70,109,89
Angola,TB_STAT,TB cases with documented HIV status,35-39,Male,450,426,431,421,62,70,97,100,82,88,124,90,53,76,135,72,68,74,86
Angola,TB_STAT,TB cases with documented HIV status,Unknown Age,Male,,,,,,6,,,,,,,,,,,,,
Angola,TB_STAT,TB cases with documented HIV status,15-19,Female,410,338,443,336,69,76,86,70,51,83,102,70,54,80,83,94,62,54,58
Angola,TB_STAT,TB cases with documented HIV status,35-39,Female,318,302,303,197,47,93,66,70,60,46,72,72,38,68,85,66,56,67,52
Angola,TB_STAT,TB cases with documented HIV status,25-29,Male,525,606,591,529,99,67,135,88,114,144,158,133,58,124,134,129,101,82,80
Angola,TB_STAT,TB cases with documented HIV status,20-24,Male,634,626,659,603,100,144,116,128,111,125,154,130,74,118,135,132,92,100,98
Angola,TB_STAT,TB cases with documented HIV status,Coarse,Female,,,,,,,,,,,,,,,,,,,
Angola,TB_STAT,TB cases with documented HIV status,45-49,Male,191,216,181,156,56,51,53,42,47,27,46,56,40,59,53,37,55,29,41
Angola,TB_STAT,TB cases with documented HIV status,Unknown Age,Female,,,,,,8,,,,,,,,,,,,,
Angola,TB_STAT,TB cases with documented HIV status,45-49,Female,152,122,186,137,39,36,56,44,27,26,42,34,22,54,58,41,41,22,37
Angola,TB_STAT,TB cases with documented HIV status,30-34,Female,325,399,359,262,71,91,80,64,75,62,76,105,54,101,91,84,78,32,93
Angola,TB_STAT,TB cases with documented HIV status,40-44,Male,382,325,388,342,46,88,90,64,63,65,72,67,51,79,85,51,47,48,58
Angola,TB_STAT,TB cases with documented HIV status,50+,Female,310,316,382,289,129,88,140,106,98,85,101,112,90,97,123,134,131,73,63
Angola,TB_STAT,TB cases with documented HIV status,20-24,Female,442,408,438,376,66,111,122,102,68,98,162,106,52,106,82,126,56,90,68
Angola,TB_STAT,TB cases with documented HIV status,50+,Male,391,407,445,367,117,133,135,96,136,117,135,101,55,131,136,105,119,95,95
Angola,TB_STAT,TB cases with documented HIV status,9-May,Unknown Sex,256,247,307,277,29,25,50,20,10,24,20,21,6,6,18,30,14,28,14
Angola,TB_STAT,TB cases with documented HIV status,4-Jan,Unknown Sex,345,340,329,228,24,32,42,26,9,21,20,17,19,4,18,19,53,24,12
Angola,TB_STAT,TB cases with documented HIV status,Coarse,Male,,,,,,,,,,,,,,,,,,,
Angola,TB_STAT,TB cases with documented HIV status,<01,Unknown Sex,126,77,57,30,,,,,,7,2,3,,,2,1,,,
Angola,TB_STAT,TB cases with documented HIV status,14-Oct,Unknown Sex,373,320,405,265,33,46,46,32,25,50,22,10,10,30,32,24,36,38,44
Angola,TB_STAT,TB cases with documented HIV status,15-19,Male,373,455,392,382,83,84,58,60,62,92,101,76,48,94,90,108,54,60,78
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),20-24,Female,534,555,508,544,490,520,539,593,613,659,780,861,877,948,1031,1065,1067,1150,1138
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),20-24,Male,124,135,131,138,43,63,62,84,62,70,73,84,80,106,121,111,109,115,111
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),50-54,Male,,,,,,,,,,,,,355,394,401,409,384,389,383
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),45-49,Male,1098,1066,1134,1117,301,356,375,362,285,334,406,480,464,463,493,520,506,518,512
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),14-Oct,Unknown Sex,616,645,667,686,187,182,198,183,163,179,212,232,244,222,230,260,241,260,260
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),Retired Age Band,Male,,,,,,,,,,,,,,,,,,,
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),15-19,Female,269,282,265,278,120,138,156,154,148,179,246,268,276,297,292,319,334,333,308
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),9-May,Unknown Sex,690,697,720,693,155,182,175,189,195,214,249,296,305,278,314,339,347,365,361
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),65+,Female,,,,,,,,,,,,,108,128,126,126,119,135,137
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),30-34,Female,2422,2387,2297,2267,1456,1525,1524,1581,1451,1566,1873,2061,1921,2138,2307,2383,2330,2432,2371
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),15-19,Male,177,181,187,180,51,44,46,56,50,41,59,80,81,82,88,89,92,84,85
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),30-34,Male,649,612,625,612,237,304,314,303,300,331,396,434,423,449,508,508,496,505,508
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),4-Jan,Unknown Sex,371,406,400,382,117,142,108,135,127,151,173,223,253,244,309,358,361,382,388
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),Unknown Age,Male,,,,,32,16,11,7,1,,,,,,,,,,
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),Unknown Age,Female,,,,,147,100,35,12,1,,,,,,,,,,
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),65+,Male,,,,,,,,,,,,,86,95,104,92,110,108,103
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),35-39,Female,2945,2909,3019,3016,1342,1487,1549,1514,1320,1483,1764,1965,1837,2002,2072,2183,2137,2247,2237
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),40-44,Female,3161,3164,3254,3301,1126,1269,1304,1247,1135,1172,1503,1661,1572,1695,1701,1761,1704,1727,1744
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),<01,Unknown Sex,5,8,10,6,13,,,,,24,6,3,5,9,12,59,59,27,26
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),35-39,Male,993,985,1021,1013,285,337,358,332,312,362,427,513,479,525,579,578,574,600,594
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),25-29,Male,235,269,236,233,70,118,131,126,146,121,162,197,187,211,241,242,220,212,222
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),60-64,Male,,,,,,,,,,,,,155,171,171,173,177,162,165
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),50+,Female,2774,2888,3102,3162,982,1163,1250,1274,1095,1156,1420,1601,,,,,,,
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),50-54,Female,,,,,,,,,,,,,736,785,797,821,811,829,825
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),25-29,Female,1198,1239,1202,1217,910,1035,1049,1097,1100,1181,1379,1522,1534,1685,1784,1796,1792,1804,1841
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),50+,Male,1812,1860,2047,2108,609,705,731,763,648,648,788,916,,,,,,,
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),45-49,Female,2069,2092,2257,2348,731,889,953,943,817,918,1114,1254,1183,1264,1281,1312,1258,1276,1269
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),60-64,Female,,,,,,,,,,,,,203,218,221,226,225,230,225
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),55-59,Male,,,,,,,,,,,,,278,284,278,286,282,281,290
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),55-59,Female,,,,,,,,,,,,,435,461,492,516,509,544,524
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),40-44,Male,1270,1298,1336,1392,341,384,410,403,302,383,438,512,490,521,571,577,574,599,601
Angola,TX_CURR,People currently receiving antiretroviral therapy (ART),Retired Age Band,Unknown Sex,,,,,,,,,,,,,,,,,,,
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,4-Jan,Unknown Sex,60,99,72,47,18,29,23,30,32,37,44,59,57,48,85,60,46,57,60
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,50+,Male,59,80,58,56,31,47,38,52,39,49,47,50,39,52,45,36,,,
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,30-34,Female,173,222,181,119,131,185,148,168,147,185,189,156,163,174,212,157,143,166,158
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,45-49,Female,59,62,76,51,27,36,40,36,32,42,49,53,42,48,43,41,33,43,40
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,9-May,Unknown Sex,48,53,46,32,13,31,18,26,25,22,25,35,25,23,29,28,23,23,19
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,<01,Unknown Sex,4,8,6,4,1,,,,,5,7,3,5,10,6,9,9,4,5
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,50+,Female,82,97,84,65,53,40,33,56,39,45,56,64,49,61,69,44,,,
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,60-64,Female,,,,,,,,,,,,,,,,,6,8,11
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,50-54,Female,,,,,,,,,,,,,,,,,29,22,17
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,55-59,Female,,,,,,,,,,,,,,,,,20,15,16
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,60-64,Male,,,,,,,,,,,,,,,,,9,5,12
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,Retired Age Band,Female,,,,,,,,,,,,,,,,,,,
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,40-44,Female,142,117,128,99,58,73,51,59,60,62,87,71,66,80,73,74,64,67,60
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,20-24,Female,93,112,101,56,142,186,108,126,161,172,184,157,145,154,162,150,150,181,136
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,25-29,Female,142,178,147,107,173,211,183,208,169,238,234,200,201,212,217,161,189,191,190
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,50-54,Male,,,,,,,,,,,,,,,,,20,14,20
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,45-49,Male,59,52,59,45,20,34,23,35,23,32,39,38,44,23,45,29,32,33,35
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,40-44,Male,95,70,93,59,37,49,36,41,35,38,55,49,35,41,40,45,38,49,42
Angola,TX_NEW,People newly enrolled on antiretroviral therapy,35-39,Female,153,159,166,109,105,128,95,104,86,124,163,125,100,118,130,116,107,117,119
